Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature Table
------------------------------

nFrames = 10, nFeatures = 150

feature |          frame
        |                   0                   1                   2                   3                   4                   5                   6                   7                   8                   9
--------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     48 | (226.0,1750.0)=11443 (226.0,1750.0)=11443 (226.0,1750.0)=11443 (226.0,1750.0)=11443 (226.0,1750.0)=11443 (226.0,1750.0)=11443 (226.0,1750.0)=11443 (226.0,1750.0)=11443 (226.0,1750.0)=11443 (226.0,1750.0)=11443 
     49 | (3070.0,1051.0)=11424 (3070.0,1051.0)=11424 (3070.0,1051.0)=11424 (3070.0,1051.0)=11424 (3070.0,1051.0)=11424 (3070.0,1051.0)=11424 (3070.0,1051.0)=11424 (3070.0,1051.0)=11424 (3070.0,1051.0)=11424 (3070.0,1051.0)=11424 
     50 | (233.0,188.0)=11419 (233.0,188.0)=11419 (233.0,188.0)=11419 (233.0,188.0)=11419 (233.0,188.0)=11419 (233.0,188.0)=11419 (233.0,188.0)=11419 (233.0,188.0)=11419 (233.0,188.0)=11419 (233.0,188.0)=11419 
     51 | (812.0,1575.0)=11414 (812.0,1575.0)=11414 (812.0,1575.0)=11414 (812.0,1575.0)=11414 (812.0,1575.0)=11414 (812.0,1575.0)=11414 (812.0,1575.0)=11414 (812.0,1575.0)=11414 (812.0,1575.0)=11414 (812.0,1575.0)=11414 
     52 | (540.0,1713.0)=11346 (540.0,1713.0)=11346 (540.0,1713.0)=11346 (540.0,1713.0)=11346 (540.0,1713.0)=11346 (540.0,1713.0)=11346 (540.0,1713.0)=11346 (540.0,1713.0)=11346 (540.0,1713.0)=11346 (540.0,1713.0)=11346 
     53 | (215.0,281.0)=11193 (215.0,281.0)=11193 (215.0,281.0)=11193 (215.0,281.0)=11193 (215.0,281.0)=11193 (215.0,281.0)=11193 (215.0,281.0)=11193 (215.0,281.0)=11193 (215.0,281.0)=11193 (215.0,281.0)=11193 
     54 | ( 74.0,927.0)=11166 ( 74.0,927.0)=11166 ( 74.0,927.0)=11166 ( 74.0,927.0)=11166 ( 74.0,927.0)=11166 ( 74.0,927.0)=11166 ( 74.0,927.0)=11166 ( 74.0,927.0)=11166 ( 74.0,927.0)=11166 ( 74.0,927.0)=11166 
     55 | ( 45.0,434.0)=11115 ( 45.0,434.0)=11115 ( 45.0,434.0)=11115 ( 45.0,434.0)=11115 ( 45.0,434.0)=11115 ( 45.0,434.0)=11115 ( 45.0,434.0)=11115 ( 45.0,434.0)=11115 ( 45.0,434.0)=11115 ( 45.0,434.0)=11115 
     56 | (2858.0,2051.0)=11110 (2858.0,2051.0)=11110 (2858.0,2051.0)=11110 (2858.0,2051.0)=11110 (2858.0,2051.0)=11110 (2858.0,2051.0)=11110 (2858.0,2051.0)=11110 (2858.0,2051.0)=11110 (2858.0,2051.0)=11110 (2858.0,2051.0)=11110 
     57 | (651.0,1877.0)=11085 (651.0,1877.0)=11085 (651.0,1877.0)=11085 (651.0,1877.0)=11085 (651.0,1877.0)=11085 (651.0,1877.0)=11085 (651.0,1877.0)=11085 (651.0,1877.0)=11085 (651.0,1877.0)=11085 (651.0,1877.0)=11085 
     58 | (797.0,2110.0)=10964 (797.0,2110.0)=10964 (797.0,2110.0)=10964 (797.0,2110.0)=10964 (797.0,2110.0)=10964 (797.0,2110.0)=10964 (797.0,2110.0)=10964 (797.0,2110.0)=10964 (797.0,2110.0)=10964 (797.0,2110.0)=10964 
     59 | (351.0,1652.0)=10962 (351.0,1652.0)=10962 (351.0,1652.0)=10962 (351.0,1652.0)=10962 (351.0,1652.0)=10962 (351.0,1652.0)=10962 (351.0,1652.0)=10962 (351.0,1652.0)=10962 (351.0,1652.0)=10962 (351.0,1652.0)=10962 
     60 | (378.0,402.0)=10788 (378.0,402.0)=10788 (378.0,402.0)=10788 (378.0,402.0)=10788 (378.0,402.0)=10788 (378.0,402.0)=10788 (378.0,402.0)=10788 (378.0,402.0)=10788 (378.0,402.0)=10788 (378.0,402.0)=10788 
     61 | (157.0,1285.0)=10697 (157.0,1285.0)=10697 (157.0,1285.0)=10697 (157.0,1285.0)=10697 (157.0,1285.0)=10697 (157.0,1285.0)=10697 (157.0,1285.0)=10697 (157.0,1285.0)=10697 (157.0,1285.0)=10697 (157.0,1285.0)=10697 
     62 | (375.0,1653.0)=10687 (375.0,1653.0)=10687 (375.0,1653.0)=10687 (375.0,1653.0)=10687 (375.0,1653.0)=10687 (375.0,1653.0)=10687 (375.0,1653.0)=10687 (375.0,1653.0)=10687 (375.0,1653.0)=10687 (375.0,1653.0)=10687 
     63 | (420.0,522.0)=10658 (420.0,522.0)=10658 (420.0,522.0)=10658 (420.0,522.0)=10658 (420.0,522.0)=10658 (420.0,522.0)=10658 (420.0,522.0)=10658 (420.0,522.0)=10658 (420.0,522.0)=10658 (420.0,522.0)=10658 
     64 | (684.0,966.0)=10645 (684.0,966.0)=10645 (684.0,966.0)=10645 (684.0,966.0)=10645 (684.0,966.0)=10645 (684.0,966.0)=10645 (684.0,966.0)=10645 (684.0,966.0)=10645 (684.0,966.0)=10645 (684.0,966.0)=10645 
     65 | (217.0,237.0)=10645 (217.0,237.0)=10645 (217.0,237.0)=10645 (217.0,237.0)=10645 (217.0,237.0)=10645 (217.0,237.0)=10645 (217.0,237.0)=10645 (217.0,237.0)=10645 (217.0,237.0)=10645 (217.0,237.0)=10645 
     66 | (599.0,2117.0)=10610 (599.0,2117.0)=10610 (599.0,2117.0)=10610 (599.0,2117.0)=10610 (599.0,2117.0)=10610 (599.0,2117.0)=10610 (599.0,2117.0)=10610 (599.0,2117.0)=10610 (599.0,2117.0)=10610 (599.0,2117.0)=10610 
     67 | (674.0,1905.0)=10605 (674.0,1905.0)=10605 (674.0,1905.0)=10605 (674.0,1905.0)=10605 (674.0,1905.0)=10605 (674.0,1905.0)=10605 (674.0,1905.0)=10605 (674.0,1905.0)=10605 (674.0,1905.0)=10605 (674.0,1905.0)=10605 
     68 | (266.0,1712.0)=10516 (266.0,1712.0)=10516 (266.0,1712.0)=10516 (266.0,1712.0)=10516 (266.0,1712.0)=10516 (266.0,1712.0)=10516 (266.0,1712.0)=10516 (266.0,1712.0)=10516 (266.0,1712.0)=10516 (266.0,1712.0)=10516 
     69 | (2977.0,2038.0)=10391 (2977.0,2038.0)=10391 (2977.0,2038.0)=10391 (2977.0,2038.0)=10391 (2977.0,2038.0)=10391 (2977.0,2038.0)=10391 (2977.0,2038.0)=10391 (2977.0,2038.0)=10391 (2977.0,2038.0)=10391 (2977.0,2038.0)=10391 
     70 | (302.0,320.0)=10375 (302.0,320.0)=10375 (302.0,320.0)=10375 (302.0,320.0)=10375 (302.0,320.0)=10375 (302.0,320.0)=10375 (302.0,320.0)=10375 (302.0,320.0)=10375 (302.0,320.0)=10375 (302.0,320.0)=10375 
     71 | (631.0,1802.0)=10353 (631.0,1802.0)=10353 (631.0,1802.0)=10353 (631.0,1802.0)=10353 (631.0,1802.0)=10353 (631.0,1802.0)=10353 (631.0,1802.0)=10353 (631.0,1802.0)=10353 (631.0,1802.0)=10353 (631.0,1802.0)=10353 
     72 | (2392.0,306.0)=10316 (2392.0,306.0)=10316 (2392.0,306.0)=10316 (2392.0,306.0)=10316 (2392.0,306.0)=10316 (2392.0,306.0)=10316 (2392.0,306.0)=10316 (2392.0,306.0)=10316 (2392.0,306.0)=10316 (2392.0,306.0)=10316 
